ec1	ec2	ec3	ec4	arg	lys	met	phe	sd	fitness
321	0.35	0.1	0.15	0.4	1.5	2	1.6	1	0	0.984829
247	0.45	0.2	0.15	0.2	1.4	2	1.7	1	0	0.984512
217	0.35	0.1	0.15	0.4	1.6	2	1.6	1	0	0.983199
265	0.7	0.15	0.1	0.05	1.8	2	1.6	1	0	0.973848
219	0.35	0.1	0.15	0.4	1.6	1.9	1.9	1	0	0.972908
319	0.35	0.1	0.15	0.4	1.5	1.9	1.9	1	0	0.971338
53	0.35	0.2	0.15	0.3	1.6	2	1.8	1.2	0	0.970733
397	0.55	0.25	0.1	0.1	1.4	1.9	1.8	1.1	0	0.970131
259	0.5	0.15	0.1	0.25	1.4	1.9	1.9	1	0	0.969739
315	0.5	0.1	0.1	0.3	1.4	1.9	1.6	1.2	0	0.966838
177	0.55	0.1	0.05	0.3	1.5	1.9	1.7	1.2	0	0.966437
205	0.45	0.15	0.15	0.25	1.8	1.8	1.7	1	0	0.966289
233	0.55	0.2	0.1	0.15	1.5	1.7	1.4	1	0	0.965976
209	0.35	0.2	0.15	0.3	1.6	1.9	1.8	1.2	0	0.965959
323	0.5	0.15	0.15	0.2	1.4	1.6	1.7	1	0	0.965014
419	0.35	0.1	0.05	0.5	1.6	1.8	1.5	1.1	0	0.963999
221	0.35	0.25	0.1	0.3	2	2	1.7	1.2	0	0.961968
179	0.4	0.15	0.15	0.3	1.7	1.7	1.7	1.1	0	0.961851
89	0.5	0.15	0.25	0.1	1.6	1.7	1.6	1.1	0	0.961222
175	0.35	0.2	0.15	0.3	1.9	1.9	1.7	1.2	0	0.961126
349	0.55	0.2	0.1	0.15	1.5	1.6	1.4	1	0	0.961053
275	0.4	0.1	0.15	0.35	1.4	1.7	1.9	1	0	0.960071
169	0.45	0.2	0.15	0.2	1.4	1.8	1.5	1.2	0	0.95992
44	0.45	0.1	0.05	0.4	1.9	1.8	1.6	1	0	0.959668
327	0.35	0.2	0.1	0.35	1.7	1.6	1.5	1	0	0.95697
329	0.4	0.1	0.15	0.35	1.8	1.6	1.7	1	0	0.956665
257	0.4	0.1	0.15	0.35	1.4	1.8	1.9	1.2	0	0.956046
167	0.45	0.2	0.15	0.2	1.6	1.8	1.4	1.2	0	0.954753
255	0.45	0.3	0.1	0.15	1.5	1.6	1.9	1.1	0	0.954522
325	0.4	0.1	0.05	0.45	1.6	1.5	1.9	1	0	0.953699
223	0.35	0.3	0.05	0.3	2	1.8	1.7	1.2	0	0.9525
134	0.35	0.15	0.15	0.35	1.3	1.7	1.3	1.2	0	0.952034
273	0.4	0.15	0.1	0.35	1.4	1.7	1.9	1.2	0	0.951261
331	0.45	0.15	0.15	0.25	1.9	1.6	1.6	1	0	0.950032
475	0.35	0.1	0.15	0.4	1.6	1.4	1.9	1	0	0.948896
163	0.45	0.2	0.1	0.25	1.7	1.7	1.4	1.2	0	0.948425
157	0.7	0.15	0.1	0.05	1.3	2	1.5	1.5	0	0.948291
264	0.55	0.1	0.2	0.15	1.9	1.6	1.6	1.1	0	0.947668
187	0.55	0.15	0.1	0.2	1.9	1.9	1.7	1.4	0	0.946919
193	0.45	0.1	0.15	0.3	1.9	1.9	1.7	1.4	0	0.946919
451	0.35	0.1	0.05	0.5	1.9	1.6	1.7	1.2	0	0.94688
483	0.45	0.2	0.1	0.25	1.2	1.5	1.6	1.2	0	0.944365
279	0.55	0.1	0.05	0.3	1.5	2	1.7	1	0.0755662659570518	0.942507
480	0.55	0.2	0.15	0.1	1.8	2	1.3	1.3	0	0.941863
389	0.45	0.25	0.15	0.15	1.4	1.7	1.5	1	0.0492513742449735	0.941184
137	0.4	0.1	0.05	0.45	1.1	1.4	1.8	1.1	0	0.941147
289	0.5	0.2	0.1	0.2	2	1.9	1.8	1.5	0	0.940616
26	0.55	0.1	0.1	0.25	1.7	1.3	1.6	1.1	0	0.940441
391	0.5	0.25	0.1	0.15	1.4	1.7	1.4	1.4	0	0.939311
423	0.35	0.15	0.1	0.4	1.8	1.9	1.9	1.6	0	0.939024
421	0.55	0.15	0.15	0.15	1.9	1.4	2	1	0	0.938736
202	0.55	0.15	0.15	0.15	1.9	1.6	2	1.4	0	0.938612
355	0.5	0.2	0.15	0.15	1.8	1.7	1.2	1.2	0	0.938145
433	0.45	0.25	0.15	0.15	1.8	1.3	2	1.1	0	0.938103
453	0.35	0.1	0.05	0.5	1.8	2	2	1.2	0.0564304300564411	0.937402
