1: p1_ec1='0.25', p2_ec2='0.25', p3_ec3='0.25', p4_ec4='0.25', p5_arg='1.5', p6_lys='1.5', p7_met='1.5', p8_phe='1.5',1,0.848145
2: p1_ec1='0.15', p2_ec2='0.15', p3_ec3='0.05', p4_ec4='0.65', p5_arg='1.7', p6_lys='1.6', p7_met='1.4', p8_phe='1.2',2,0
3: p1_ec1='0.45', p2_ec2='0.1', p3_ec3='0.3', p4_ec4='0.15', p5_arg='1.7', p6_lys='1.6', p7_met='1.8', p8_phe='1.8',3,0.912122
4: p1_ec1='0.20', p2_ec2='0.1', p3_ec3='0.45', p4_ec4='0.25', p5_arg='1.9', p6_lys='1.3', p7_met='1.7', p8_phe='1.1',4,0
5: p1_ec1='0.05', p2_ec2='0.55', p3_ec3='0.1', p4_ec4='0.3', p5_arg='1.8', p6_lys='1.7', p7_met='1.8', p8_phe='1.2',5,0
6: p1_ec1='0.35', p2_ec2='0.4', p3_ec3='0.05', p4_ec4='0.20', p5_arg='1.7', p6_lys='1.3', p7_met='1.7', p8_phe='1.1',6,0
7: p1_ec1='0.20', p2_ec2='0.45', p3_ec3='0.05', p4_ec4='0.3', p5_arg='1.1', p6_lys='2', p7_met='1.5', p8_phe='1.3',7,0
8: p1_ec1='0.15', p2_ec2='0.7', p3_ec3='0.1', p4_ec4='0.05', p5_arg='1.1', p6_lys='1.5', p7_met='1.6', p8_phe='1.8',8,0
9: p1_ec1='0.05', p2_ec2='0.3', p3_ec3='0.25', p4_ec4='0.4', p5_arg='1.9', p6_lys='2', p7_met='1.9', p8_phe='1',9,0
10: p1_ec1='0.05', p2_ec2='0.55', p3_ec3='0.15', p4_ec4='0.25', p5_arg='1.2', p6_lys='1.1', p7_met='1.1', p8_phe='2',10,0
11: p1_ec1='0.25', p2_ec2='0.5', p3_ec3='0.15', p4_ec4='0.1', p5_arg='1.9', p6_lys='1.5', p7_met='1.6', p8_phe='1.1',11,0.838119
12: p1_ec1='0.15', p2_ec2='0.35', p3_ec3='0.15', p4_ec4='0.35', p5_arg='1.4', p6_lys='1.4', p7_met='1.2', p8_phe='1.3',12,0
