ec1	ec2	ec3	ec4	arg	lys	met	phe	fitness
0.25	0.25	0.25	0.25	1.5	1.5	1.5	1.5	0.848145
0.15	0.15	0.05	0.65	1.7	1.6	1.4	1.2	0
0.45	0.1	0.3	0.15	1.7	1.6	1.8	1.8	0.912122
0.20	0.1	0.45	0.25	1.9	1.3	1.7	1.1	0
0.05	0.55	0.1	0.3	1.8	1.7	1.8	1.2	0
0.35	0.4	0.05	0.20	1.7	1.3	1.7	1.1	0
0.20	0.45	0.05	0.3	1.1	2	1.5	1.3	0
0.15	0.7	0.1	0.05	1.1	1.5	1.6	1.8	0
0.05	0.3	0.25	0.4	1.9	2	1.9	1	0
0.05	0.55	0.15	0.25	1.2	1.1	1.1	2	0
0.25	0.5	0.15	0.1	1.9	1.5	1.6	1.1	0.838119
0.15	0.35	0.15	0.35	1.4	1.4	1.2	1.3	0
0.1	0.4	0.05	0.45	1.3	1	1.6	1.6	0
0.45	0.15	0.05	0.35	1.4	1.4	1	2	0.850734
0.15	0.15	0.1	0.6	1.9	1	1.6	1	0
0.15	0.1	0.05	0.7	1.7	1.5	2	1	0
0.65	0.1	0.15	0.1	1.1	2	1.7	1.2	0.926278
0.05	0.20	0.25	0.5	1	1.2	1	1.4	0
0.6	0.20	0.15	0.05	1.9	1.2	1.9	1.4	0.856822
0.3	0.20	0.25	0.25	1.3	1.2	1.8	1.3	0
0.20	0.35	0.15	0.3	2	1.4	1	1.6	0
0.55	0.15	0.05	0.25	1.7	1.1	1.1	1.4	0.899993
0.05	0.15	0.15	0.65	1.3	1.3	1.1	1.6	0
0.1	0.6	0.25	0.05	1.6	1	2	1.8	0
0.05	0.7	0.20	0.05	1.4	2	1.7	1.6	0
0.55	0.1	0.1	0.25	1.7	1.3	1.6	1.1	0.940441
0.15	0.1	0.35	0.4	1.8	1.2	1.7	1.6	0
0.35	0.05	0.55	0.05	1.6	1.7	1.3	1.5	0
0.15	0.4	0.25	0.20	1.5	1.4	1.5	1	0
0.25	0.05	0.3	0.4	1.1	1.8	1.8	1.2	0
0.35	0.20	0.15	0.3	1.9	1.6	1.4	1.3	0.917298
0.45	0.05	0.05	0.45	1.3	1.4	1.2	1.9	0.801805
0.20	0.3	0.25	0.25	1.5	1.6	1.2	1.2	0.820719
0.5	0.05	0.05	0.4	1.8	1.7	1.1	1.8	0.848347
0.1	0.45	0.15	0.3	1.4	1.8	1.6	1	0
0.45	0.05	0.1	0.4	1.4	1.1	1.4	2	0
0.15	0.5	0.05	0.3	1.2	1.5	1.9	1.1	0
0.45	0.1	0.05	0.4	1.4	1.6	1.5	2	0.899762
0.20	0.4	0.35	0.05	1.1	2	1.6	1.8	0.833207
0.45	0.05	0.05	0.45	1.2	1.6	1.6	2	0.804095
0.4	0.1	0.35	0.15	1.3	2	1.6	2	0
0.45	0.05	0.05	0.45	1.8	1.9	1.6	2	0.908721
0.20	0.15	0.05	0.6	1.8	2	2	1.7	0
0.45	0.1	0.05	0.4	1.9	1.8	1.6	1	0.959668
