1: p1_glu1='-10', p2_ac1='-18', p3_o21='-7', p4_glu2='-10', p5_ac2='-18', p6_o22='-7',1,0.729049
2: p1_glu1='-4', p2_ac1='-4', p3_o21='-2', p4_glu2='-12', p5_ac2='-2', p6_o22='-1',2,0.156865
3: p1_glu1='-10', p2_ac1='-18', p3_o21='-6', p4_glu2='-8', p5_ac2='-8', p6_o22='-2',3,0.65061
4: p1_glu1='-10', p2_ac1='-2', p3_o21='-4', p4_glu2='-14', p5_ac2='-8', p6_o22='-6',4,0.644349
5: p1_glu1='-18', p2_ac1='-10', p3_o21='-1', p4_glu2='-2', p5_ac2='-14', p6_o22='-4',5,0.198545
6: p1_glu1='-8', p2_ac1='-10', p3_o21='-5', p4_glu2='-2', p5_ac2='-16', p6_o22='-3',6,0.63023
7: p1_glu1='-2', p2_ac1='-2', p3_o21='-3', p4_glu2='-12', p5_ac2='-8', p6_o22='-1',7,0.162465
8: p1_glu1='-2', p2_ac1='-12', p3_o21='-7', p4_glu2='-20', p5_ac2='-16', p6_o22='-7',8,0.698515
9: p1_glu1='-8', p2_ac1='-6', p3_o21='-1', p4_glu2='-14', p5_ac2='-4', p6_o22='-7',9,0.622993
10: p1_glu1='-2', p2_ac1='-18', p3_o21='-5', p4_glu2='-4', p5_ac2='-6', p6_o22='-5',10,0.630455
11: p1_glu1='-14', p2_ac1='-12', p3_o21='-4', p4_glu2='-4', p5_ac2='-10', p6_o22='-7',11,0.607361
12: p1_glu1='-20', p2_ac1='-14', p3_o21='-3', p4_glu2='-6', p5_ac2='-14', p6_o22='-3',12,0.493902
13: p1_glu1='-6', p2_ac1='-6', p3_o21='-7', p4_glu2='-20', p5_ac2='-12', p6_o22='-4',13,0.605308
14: p1_glu1='-18', p2_ac1='-12', p3_o21='-4', p4_glu2='-16', p5_ac2='-18', p6_o22='-6',14,0.626693
15: p1_glu1='-8', p2_ac1='-6', p3_o21='-4', p4_glu2='-4', p5_ac2='-8', p6_o22='-1',15,0.527264
16: p1_glu1='-4', p2_ac1='-6', p3_o21='-7', p4_glu2='-16', p5_ac2='-2', p6_o22='-7',16,0.597577
17: p1_glu1='-6', p2_ac1='0', p3_o21='-4', p4_glu2='-6', p5_ac2='-18', p6_o22='-1',17,0.232733
18: p1_glu1='-14', p2_ac1='-2', p3_o21='-5', p4_glu2='-4', p5_ac2='-18', p6_o22='-1',18,0.426083
19: p1_glu1='-10', p2_ac1='-2', p3_o21='-6', p4_glu2='-12', p5_ac2='-2', p6_o22='-7',19,0.530207
20: p1_glu1='-16', p2_ac1='-8', p3_o21='-1', p4_glu2='-4', p5_ac2='-12', p6_o22='-4',20,0.286733
21: p1_glu1='-20', p2_ac1='-6', p3_o21='-5', p4_glu2='-20', p5_ac2='-16', p6_o22='-5',21,0.629745
22: p1_glu1='-4', p2_ac1='-8', p3_o21='-4', p4_glu2='-4', p5_ac2='-4', p6_o22='-6',22,0.64117
23: p1_glu1='-16', p2_ac1='0', p3_o21='-7', p4_glu2='-10', p5_ac2='-8', p6_o22='-7',23,0.638984
24: p1_glu1='-2', p2_ac1='-6', p3_o21='-6', p4_glu2='-14', p5_ac2='-12', p6_o22='-2',24,0.442422
25: p1_glu1='-4', p2_ac1='0', p3_o21='-7', p4_glu2='-16', p5_ac2='-4', p6_o22='-7',25,0.645432
26: p1_glu1='-18', p2_ac1='-8', p3_o21='-3', p4_glu2='-6', p5_ac2='-4', p6_o22='-2',26,0.47599
27: p1_glu1='-4', p2_ac1='0', p3_o21='-7', p4_glu2='-2', p5_ac2='-4', p6_o22='-7',27,0.717342
28: p1_glu1='-10', p2_ac1='-12', p3_o21='-4', p4_glu2='-10', p5_ac2='-8', p6_o22='-7',28,0.690844
29: p1_glu1='-4', p2_ac1='0', p3_o21='-7', p4_glu2='-8', p5_ac2='-4', p6_o22='-7',29,0.677239
30: p1_glu1='-18', p2_ac1='-10', p3_o21='-5', p4_glu2='-16', p5_ac2='-12', p6_o22='-3',30,0.593542
31: p1_glu1='-14', p2_ac1='0', p3_o21='-7', p4_glu2='-6', p5_ac2='-12', p6_o22='-7',31,0.627034
32: p1_glu1='-2', p2_ac1='-4', p3_o21='-6', p4_glu2='-8', p5_ac2='-18', p6_o22='-5',32,0.640831
33: p1_glu1='-2', p2_ac1='0', p3_o21='-6', p4_glu2='-6', p5_ac2='-16', p6_o22='-6',33,0.686896
34: p1_glu1='-20', p2_ac1='-2', p3_o21='-4', p4_glu2='-12', p5_ac2='-6', p6_o22='-1',34,0.381704
35: p1_glu1='-6', p2_ac1='0', p3_o21='-5', p4_glu2='-10', p5_ac2='-6', p6_o22='-7',35,0.694378
36: p1_glu1='-2', p2_ac1='-14', p3_o21='-4', p4_glu2='-2', p5_ac2='-10', p6_o22='-6',36,0.498082
37: p1_glu1='-4', p2_ac1='0', p3_o21='-4', p4_glu2='-2', p5_ac2='-6', p6_o22='-5',37,0.529787
38: p1_glu1='-18', p2_ac1='-18', p3_o21='-7', p4_glu2='-12', p5_ac2='-2', p6_o22='-5',38,0.676811
39: p1_glu1='-2', p2_ac1='0', p3_o21='-4', p4_glu2='-6', p5_ac2='-12', p6_o22='-7',39,0.732621
40: p1_glu1='-6', p2_ac1='0', p3_o21='-1', p4_glu2='-12', p5_ac2='-8', p6_o22='-7',40,0.701533
41: p1_glu1='-2', p2_ac1='0', p3_o21='-5', p4_glu2='-6', p5_ac2='-6', p6_o22='-7',41,0.719409
