glu1	ac1	o21	glu2	ac2	o22	sd	fitness
142	-20	-16	-7	-20	0	-7	0	0.870731
160	-20	-6	-7	-20	-18	-7	0	0.870731
195	-20	0	-7	-20	-18	-7	0	0.870731
335	-20	-18	-7	-20	0	-7	0	0.870731
369	-20	-16	-7	-20	-12	-7	0	0.870731
371	-20	-18	-7	-20	-12	-7	0	0.870731
373	-20	-16	-7	-20	-6	-7	0	0.870731
382	-20	-12	-7	-20	-6	-7	0	0.870731
386	-20	-18	-7	-20	-2	-7	0	0.870731
392	-20	-12	-7	-20	-2	-7	0	0.870731
415	-20	-10	-7	-20	-10	-7	0	0.870731
417	-20	-8	-7	-20	-8	-7	0	0.870731
419	-20	-8	-7	-20	0	-7	0	0.870731
421	-20	-6	-7	-20	-10	-7	0	0.870731
423	-20	0	-7	-20	-16	-7	0	0.870731
445	-20	-14	-7	-20	-18	-7	0	0.870731
447	-20	-12	-7	-20	-18	-7	0	0.870731
449	-20	-18	-7	-20	-16	-7	0	0.870731
451	-20	-12	-7	-20	-16	-7	0	0.870731
453	-20	-4	-7	-20	-18	-7	0	0.870731
478	-20	-4	-7	-20	-2	-7	0	0.870731
485	-20	-2	-7	-20	-16	-7	0	0.870731
487	-20	0	-7	-20	-4	-7	0	0.870731
489	-20	0	-7	-20	-14	-7	0	0.870731
491	-20	0	-7	-20	-2	-7	0	0.870731
138	-20	-14	-6	-20	-10	-7	0	0.845726
162	-20	-6	-6	-20	-10	-7	0	0.845726
205	-20	-12	-7	-20	-12	-6	0	0.845726
209	-20	-16	-7	-20	0	-6	0	0.845726
305	-20	-14	-6	-20	0	-7	0	0.845726
345	-20	-18	-7	-20	0	-6	0	0.845726
348	-20	0	-7	-20	-18	-6	0	0.845726
350	-20	-10	-7	-20	-12	-6	0	0.845726
375	-20	-18	-6	-20	-14	-7	0	0.845726
377	-20	-18	-6	-20	0	-7	0	0.845726
379	-20	-18	-6	-20	-12	-7	0	0.845726
164	-20	-8	-7	-18	-18	-7	0	0.842947
267	-18	0	-7	-20	-18	-7	0	0.842947
154	-20	-2	-5	-20	-16	-7	0	0.82072
156	-20	-2	-5	-20	-8	-7	0	0.82072
158	-20	-4	-5	-20	-18	-7	0	0.82072
