glu1,ac1,o21,glu2,ac2,o22,fitness,sd
-10,-16,-11,-12,-6,-16,0.949173,0.000382629
-10,-4,-15,-12,-16,-15,0.948679,0.0017020197
-8,-16,-16,-8,-16,-13,0.94636,0.0062593659
-16,-18,-26,-10,-14,-1,0.945995,0.0003827638
-10,-2,-13,-12,-14,-16,0.945534,0.000545156
-8,-16,-16,-8,-10,-13,0.943201,0.0034699208
-16,-2,-2,-18,-18,-20,0.943183,7.85367683263612E-05
-10,-2,-12,-6,-14,-13,0.942853,0.006878106
-8,-18,-16,-8,-16,-13,0.942725,0.0018546711
-8,-18,-15,-10,-14,-14,0.942336,0.0005627542
-10,-18,-20,-10,-10,-1,0.941829,0.0070816189
-8,-18,-11,-14,-16,-14,0.941105,0.0198989352
-4,-4,-8,-8,-10,-15,0.941092,0
-4,-4,-10,-8,-2,-16,0.941092,0
-18,-12,-20,-14,-4,-4,0.940593,0.0016807899
-4,-4,-8,-8,-10,-18,0.939974,0.0019378249
-10,-2,-22,-8,-16,-1,0.939616,0.0022409317
-8,0,-11,-2,-14,-12,0.939261,0.0031762064
-8,-8,-11,-12,-4,-15,0.939165,0.005829584
-18,0,-1,-16,-2,-28,0.938941,0.0010946484
-10,-16,-4,-18,-4,-24,0.938879,0.0005925083
-4,0,-14,-8,-10,-15,0.938855,0.0019378249
-10,-2,-14,-10,-8,-14,0.937965,0.0043077478
-8,0,-12,-8,-8,-15,0.937866,0.0007938279
-8,-16,-15,-10,-14,-14,0.937838,0
