glu1	ac1	o21	glu2	ac2	o22	fitness
-10	-18	-15	-10	-18	-15	0.906386
-2	-6	-14	-16	-6	-12	0.813667
-18	-10	-2	-2	-14	-15	0.650734
-20	-2	-6	-4	0	-1	0.490071
-2	-2	-12	-12	-8	-1	0.212198
-10	-14	-12	-14	-6	-10	0.853768
-20	-18	-2	-12	-18	-16	0.83105
-20	-18	-10	-12	-10	-10	0.805931
-10	-6	-2	-6	-16	-2	0.285906
-14	0	-4	-12	-12	-12	0.817167
-20	-18	-6	-6	-10	-20	0.774472
-8	0	-11	-6	-14	-16	0
-18	-16	-12	-2	-16	-4	0.851303
-2	-6	-28	-4	-14	-2	0
-18	-16	-14	-8	-16	-2	0.885207
-2	-16	-18	-2	-6	-10	0.533166
-10	-18	-28	-16	-4	-1	0
-2	-6	-1	-10	-6	-10	0.796791
-18	-14	-2	-6	-6	-4	0.448005
-4	-10	-26	-6	-10	-2	0
-20	-12	-2	-10	-18	-4	0.474236
-4	-12	-16	-18	-14	-4	0.722505
-18	-16	-20	-8	-16	-8	0.919801
-8	-14	-20	-4	-14	-1	0
-14	-18	-20	-12	-6	-10	0
-16	-16	-28	-8	-4	-2	0.936844
-10	-18	-20	-12	-4	-8	0.893851
-20	-10	-1	-10	-18	-24	0.879379
-14	-14	-20	-14	-10	-8	0
-16	-16	-18	-2	-10	-1	0
-14	-16	-20	-18	-6	-8	0.883448
-8	-18	-14	-20	-12	-16	0.89255
-14	-8	-24	-4	-16	-6	0
-20	-2	-1	-12	-18	-8	0.665503
-12	-2	-24	-4	-16	-4	0
-8	-16	-11	-2	-2	-13	0
-2	-8	-26	-2	-16	-4	0.533168
-8	0	-13	-12	-6	-14	0
-4	-4	-26	-2	-16	-4	0.743828
-10	-8	-1	-16	-16	-8	0.751588
-2	-8	-22	-4	-18	-4	0
-18	-14	-18	-2	-18	-4	0.901703
-12	-4	-24	-4	-16	-4	0
-18	-16	-20	-8	-16	-1	0
-8	-14	-10	-18	-14	-4	0.715198
-20	-18	-16	-8	-16	-1	0.910804
-16	-4	-14	-4	-4	-11	0.806678
-20	-16	-10	-8	-18	-1	0.802648
-16	-8	-13	-4	-4	-11	0.859027
