Fitness_function	configuration	fitness	sd	C80aPHA(mM)	sucr(mM)	endCycle
MaxPHA	40.0,2.0,0.2,0.5	0.89712	0.0	22.427998	0.0	1000
MaxPHA	40.0,2.0,0.175,0.5	0.897108	0.0	22.427708	0.0	1000
MaxPHA	40.0,2.0,0.125,0.5	0.897085	0.0	22.427128	0.0	1000
MaxPHA	40.0,2.0,0.2,1.0	0.891081	0.0	22.277026	0.0	1000
MaxPHA	40.0,2.0,0.175,1.0	0.891058	0.0	22.27644	0.0	1000
MaxPHA	40.0,2.0,0.15,1.0	0.891034	0.0	22.275854	0.0	1000
MaxPHA	40.0,2.0,0.125,1.0	0.89102	0.0	22.275506	0.0	1000
MaxPHA	40.0,2.0,0.1,1.0	0.89102	0.0	22.275506	0.0	1000
MaxPHA	40.0,2.0,0.2,1.5	0.884772	0.0	22.119293	0.0	1000
MaxPHA	40.0,2.0,0.175,1.5	0.884742	0.0	22.118553	0.0	1000
MaxPHA	40.0,2.0,0.075,1.5	0.882854	0.0	22.071347	0.0	1000
MaxPHA	40.0,2.0,0.1,1.5	0.882643	0.0	22.066063	0.0	1000
MaxPHA	40.0,2.0,0.2,2.0	0.878235	0.0	21.955868	0.0	1000
MaxPHA	40.0,2.0,0.175,2.0	0.878235	0.0	21.955868	0.0	1000
MaxPHA	40.0,2.0,0.15,2.0	0.87586	0.0	21.896497	0.0	1000
MaxPHA	40.0,2.0,0.02,2.0	0.871356	0.0	21.78391	0.416014	1000
MaxPHA	40.0,2.0,0.2,2.5	0.868813	0.0	21.720337	0.0	1000
MaxPHA	40.0,2.0,0.02,3.0	0.865771	0.0	21.644281	0.0	1000
MaxPHA	40.0,2.0,0.05,3.0	0.865277	0.0	21.631922	0.0	1000
MaxPHA	40.0,2.0,0.1,3.0	0.862925	0.0	21.573136	0.0	1000
MaxPHA	40.0,2.0,0.125,3.0	0.862801	0.0	21.570036	0.0	1000
MaxPHA	40.0,2.0,0.15,3.0	0.862677	0.0	21.566935	0.0	1000
MaxPHA	40.0,2.0,0.175,3.0	0.86244	0.0	21.560996	0.0	1000
MaxPHA	40.0,2.0,0.2,3.0	0.862128	0.0	21.553204	0.0	1000
MaxPHA	40.0,2.0,0.02,3.5	0.858441	0.0	21.461027	0.0	1000
MaxPHA	40.0,2.0,0.05,3.5	0.858067	0.0	21.451674	0.0	1000
MaxPHA	40.0,2.0,0.175,3.5	0.85769	0.0	21.442258	0.0	1000
MaxPHA	40.0,2.0,0.2,3.5	0.854583	0.0	21.364569	0.0	1000
MaxPHA	40.0,2.0,0.175,4.0	0.850338	0.0	21.258459	0.0	1000
MaxPHA	40.0,2.0,0.2,4.0	0.850313	0.0	21.257833	0.0	1000
MaxPHA	40.0,2.0,0.075,4.0	0.850276	0.0	21.256894	0.0	1000
MaxPHA	40.0,2.0,0.15,4.0	0.850248	0.0	21.256209	0.0	1000
MaxPHA	40.0,2.0,0.1,4.0	0.850214	0.0	21.255352	0.0	1000
MaxPHA	40.0,2.0,0.02,4.0	0.848931	0.0	21.22327	0.0	1000
MaxPHA	40.0,2.0,0.02,4.5	0.843873	0.0	21.096823	0.0	1000
MaxPHA	50.0,2.0,0.125,0.5	0.840181	0.0	21.004536	0.0	1000
MaxPHA	50.0,2.0,0.175,0.5	0.840162	0.0	21.004049	0.0	1000
MaxPHA	50.0,2.0,0.2,0.5	0.840152	0.0	21.003805	0.0	1000
MaxPHA	40.0,2.0,0.02,5.0	0.835871	0.0	20.896764	0.0	1000
MaxPHA	50.0,2.0,0.2,1.0	0.835554	0.0	20.888839	0.0	1000
MaxPHA	40.0,2.0,0.075,5.0	0.835177	0.0	20.879417	0.0	1000
MaxPHA	50.0,2.0,0.05,1.0	0.8351	0.0	20.877489	0.008801	1000
MaxPHA	40.0,2.0,0.15,5.0	0.831014	0.0	20.77536	0.0	1000
MaxPHA	40.0,2.0,0.175,5.0	0.830937	0.0	20.773432	0.0	1000
MaxPHA	50.0,2.0,0.2,2.0	0.826309	0.0	20.657718	0.0	1000
MaxPHA	50.0,2.0,0.02,2.5	0.822108	0.0	20.552688	0.0	1000
MaxPHA	50.0,2.0,0.1,2.5	0.821927	0.0	20.548168	0.0	1000
MaxPHA	50.0,2.0,0.075,2.5	0.821894	0.0	20.547353	0.0	1000
MaxPHA	50.0,2.0,0.05,2.5	0.821853	0.0	20.546314	0.0	1000
MaxPHA	50.0,2.0,0.2,3.0	0.816921	0.0	20.423029	0.0	1000
MaxPHA	50.0,2.0,0.2,3.5	0.81234	0.0	20.308507	0.0	1000
MaxPHA	50.0,2.0,0.175,3.5	0.812298	0.0	20.307459	0.0	1000
MaxPHA	50.0,2.0,0.02,4.0	0.808054	0.0	20.201359	0.0	1000
MaxPHA	50.0,2.0,0.175,4.0	0.807584	0.0	20.189609	0.0	1000
MaxPHA	50.0,2.0,0.175,4.5	0.802885	0.0	20.072132	0.0	1000
MaxPHA	40.0,2.0,0.2,7.0	0.801393	0.0	20.03482	0.0	1000
MaxPHA	50.0,2.0,0.02,5.0	0.798659	0.0	19.96647	0.0	1000
MaxPHA	50.0,2.0,0.2,5.0	0.798073	0.0	19.951818	0.0	1000
MaxPHA	40.0,1.75,0.2,0.5	0.79749	0.0	19.93724	0.0	1000
MaxPHA	40.0,1.75,0.2,1.0	0.792536	0.0	19.813407	0.0	1000
MaxPHA	50.0,2.0,0.2,6.0	0.788514	0.0	19.712859	0.0	1000
MaxPHA	40.0,1.75,0.2,1.5	0.787288	0.0	19.682192	0.0	1000
MaxPHA	40.0,2.0,0.05,1.0	0.783429	0.0	19.585737	4.424974	1000
MaxPHA	40.0,1.75,0.2,2.0	0.781776	0.0	19.544406	0.0	1000
MaxPHA	50.0,2.0,0.075,7.0	0.779457	0.0	19.486428	0.0	1000
MaxPHA	50.0,2.0,0.2,7.0	0.778855	0.0	19.471375	0.0	1000
MaxPHA	40.0,1.75,0.05,3.0	0.770569	0.0	19.264224	0.0	1000
MaxPHA	40.0,1.75,0.1,3.0	0.770466	0.0	19.261647	0.0	1000
MaxPHA	40.0,1.75,0.15,3.0	0.770369	0.0	19.259218	0.0	1000
MaxPHA	40.0,1.75,0.2,3.0	0.768353	0.0	19.208822	0.0	1000
MaxPHA	40.0,1.75,0.15,3.5	0.764211	0.0	19.105273	0.0	1000
MaxPHA	40.0,1.75,0.2,3.5	0.764149	0.0	19.103719	0.0	1000
MaxPHA	40.0,1.75,0.05,3.5	0.762338	0.0	19.058457	0.0	1000
MaxPHA	40.0,2.0,0.075,0.5	0.757494	0.0	18.937341	5.912791	1000
MaxPHA	40.0,1.75,0.075,4.0	0.756022	0.0	18.900556	0.0	1000
MaxPHA	40.0,1.75,0.125,4.0	0.755387	0.0	18.884663	0.0	1000
MaxPHA	40.0,1.75,0.1,4.5	0.751262	0.0	18.781556	0.0	1000
MaxPHA	40.0,1.75,0.15,4.5	0.751112	0.0	18.7778	0.0	1000
MaxPHA	40.0,2.0,0.02,1.5	0.750651	0.0	18.76627	5.838935	1000
MaxPHA	40.0,1.75,0.175,4.5	0.748229	0.0	18.705726	0.0	1000
MaxPHA	40.0,1.75,0.175,5.0	0.744238	0.0	18.605944	0.0	1000
MaxPHA	40.0,1.75,0.15,5.0	0.7442	0.0	18.604999	0.0	1000
MaxPHA	40.0,1.75,0.05,5.0	0.742237	0.0	18.555913	0.0	1000
MaxPHA	30.0,2.0,0.15,1.0	0.740235	0.0	18.505876	0.0	1000
MaxPHA	30.0,2.0,0.1,1.0	0.740203	0.0	18.505087	0.0	1000
MaxPHA	50.0,1.75,0.15,1.0	0.729978	0.0	18.249445	0.0	1000
MaxPHA	40.0,1.75,0.175,6.0	0.729691	0.0	18.242285	0.0	1000
MaxPHA	40.0,1.75,0.02,6.0	0.729378	0.0	18.234449	0.0	1000
MaxPHA	30.0,2.0,0.15,2.0	0.727305	0.0	18.182617	0.0	1000
MaxPHA	30.0,2.0,0.175,2.0	0.727275	0.0	18.181884	0.0	1000
MaxPHA	50.0,1.75,0.05,1.5	0.725483	0.0	18.137086	0.0	1000
MaxPHA	50.0,1.75,0.2,1.5	0.725307	0.0	18.132669	0.0	1000
MaxPHA	50.0,1.75,0.1,2.0	0.720789	0.0	18.019724	0.0	1000
MaxPHA	30.0,2.0,0.175,2.5	0.720725	0.0	18.018135	0.0	1000
MaxPHA	30.0,2.0,0.2,2.5	0.720691	0.0	18.017273	0.0	1000
MaxPHA	50.0,1.75,0.2,2.0	0.72064	0.0	18.015996	0.0	1000
MaxPHA	50.0,1.75,0.2,2.5	0.715949	0.0	17.898713	0.0	1000
MaxPHA	30.0,2.0,0.2,3.0	0.714036	0.0	17.850897	0.0	1000
MaxPHA	30.0,2.0,0.2,3.5	0.707056	0.0	17.676412	0.0	1000
MaxPHA	30.0,2.0,0.02,3.5	0.706048	0.0	17.65119	0.0	1000
MaxPHA	50.0,1.75,0.175,4.5	0.697116	0.0	17.427902	0.0	1000
