sucrPer	Synecho	KT	NH4	sd	fitness
234	40	2	0.2	0.5	0	0.89712
244	40	2	0.175	0.5	0	0.897108
242	40	2	0.125	0.5	0	0.897085
166	40	2	0.2	1	0	0.891081
205	40	2	0.175	1	0	0.891058
99	40	2	0.15	1	0	0.891034
208	40	2	0.125	1	0	0.89102
218	40	2	0.1	1	0	0.89102
133	40	2	0.2	1.5	0	0.884772
101	40	2	0.175	1.5	0	0.884742
340	40	2	0.075	1.5	0	0.882854
215	40	2	0.1	1.5	0	0.882643
141	40	2	0.175	2	0	0.878235
175	40	2	0.2	2	0	0.878235
105	40	2	0.15	2	0	0.87586
116	40	2	0.02	2	0	0.871356
103	40	2	0.2	2.5	0	0.868813
112	40	2	0.02	3	0	0.865771
57	40	2	0.05	3	0	0.865277
305	40	2	0.1	3	0	0.862925
307	40	2	0.125	3	0	0.862801
309	40	2	0.15	3	0	0.862677
312	40	2	0.175	3	0	0.86244
137	40	2	0.2	3	0	0.862128
499	40	2	0.02	3.5	0	0.858441
143	40	2	0.05	3.5	0	0.858067
495	40	2	0.175	3.5	0	0.85769
247	40	2	0.2	3.5	0	0.854583
325	40	2	0.175	4	0	0.850338
240	40	2	0.2	4	0	0.850313
157	40	2	0.075	4	0	0.850276
418	40	2	0.15	4	0	0.850248
420	40	2	0.1	4	0	0.850214
156	40	2	0.02	4	0	0.848931
154	40	2	0.02	4.5	0	0.843873
251	50	2	0.125	0.5	0	0.840181
253	50	2	0.175	0.5	0	0.840162
245	50	2	0.2	0.5	0	0.840152
159	40	2	0.02	5	0	0.835871
396	50	2	0.2	1	0	0.835554
304	40	2	0.075	5	0	0.835177
59	50	2	0.05	1	0	0.8351
241	40	2	0.15	5	0	0.831014
334	40	2	0.175	5	0	0.830937
403	50	2	0.2	2	0	0.826309
114	50	2	0.02	2.5	0	0.822108
65	50	2	0.1	2.5	0	0.821927
270	50	2	0.075	2.5	0	0.821894
78	50	2	0.05	2.5	0	0.821853
300	50	2	0.2	3	0	0.816921
145	50	2	0.2	3.5	0	0.81234
150	50	2	0.175	3.5	0	0.812298
162	50	2	0.02	4	0	0.808054
332	50	2	0.175	4	0	0.807584
474	50	2	0.175	4.5	0	0.802885
357	40	2	0.2	7	0	0.801393
164	50	2	0.02	5	0	0.798659
27	50	2	0.2	5	0	0.798073
356	40	1.75	0.2	0.5	0	0.79749
359	40	1.75	0.2	1	0	0.792536
405	50	2	0.2	6	0	0.788514
362	40	1.75	0.2	1.5	0	0.787288
210	40	2	0.05	1	0	0.783429
364	40	1.75	0.2	2	0	0.781776
456	50	2	0.075	7	0	0.779457
25	50	2	0.2	7	0	0.778855
434	40	1.75	0.05	3	0	0.770569
430	40	1.75	0.1	3	0	0.770466
432	40	1.75	0.15	3	0	0.770369
426	40	1.75	0.2	3	0	0.768353
452	40	1.75	0.15	3.5	0	0.764211
365	40	1.75	0.2	3.5	0	0.764149
454	40	1.75	0.05	3.5	0	0.762338
272	40	2	0.075	0.5	0	0.757494
450	40	1.75	0.075	4	0	0.756022
447	40	1.75	0.125	4	0	0.755387
315	40	1.75	0.1	4.5	0	0.751262
257	40	1.75	0.15	4.5	0	0.751112
182	40	2	0.02	1.5	0	0.750651
259	40	1.75	0.175	4.5	0	0.748229
349	40	1.75	0.175	5	0	0.744238
347	40	1.75	0.15	5	0	0.7442
47	40	1.75	0.05	5	0	0.742237
320	30	2	0.15	1	0	0.740235
323	30	2	0.1	1	0	0.740203
179	50	1.75	0.15	1	0	0.729978
477	40	1.75	0.175	6	0	0.729691
174	40	1.75	0.02	6	0	0.729378
131	30	2	0.15	2	0	0.727305
127	30	2	0.175	2	0	0.727275
398	50	1.75	0.05	1.5	0	0.725483
442	50	1.75	0.2	1.5	0	0.725307
262	50	1.75	0.1	2	0	0.720789
121	30	2	0.175	2.5	0	0.720725
126	30	2	0.2	2.5	0	0.720691
437	50	1.75	0.2	2	0	0.72064
435	50	1.75	0.2	2.5	0	0.715949
124	30	2	0.2	3	0	0.714036
317	30	2	0.2	3.5	0	0.707056
197	30	2	0.02	3.5	0	0.706048
284	50	1.75	0.175	4.5	0	0.697116
204	30	2	0.15	4	0	0.69709
195	30	2	0.1	4.5	0	0.69336
5	50	1.75	0.05	5	0	0.692783
222	50	1.75	0.125	5	0	0.692486
345	50	1.75	0.175	5	0	0.692337
199	30	2	0.05	5	0	0.686701
118	50	2	0.02	1	0	0.686378
379	30	1.75	0.2	0.5	0	0.679645
343	30	1.75	0.175	0.5	0	0.67964
384	30	1.75	0.2	1	0	0.673804
53	40	1.5	0.02	3	0	0.67011
339	30	1.75	0.175	1.5	0	0.667786
14	40	1.5	0.125	3.5	0	0.665262
171	40	1.5	0.2	3.5	0	0.665164
392	40	1.5	0.02	3.5	0	0.665079
249	30	1.75	0.15	2	0	0.661732
341	30	1.75	0.175	2	0	0.6617
375	30	1.75	0.2	2	0	0.661668
1	30	2	0.1	7	0	0.657774
337	30	1.75	0.175	2.5	0	0.655567
381	30	1.75	0.2	2.5	0	0.655529
153	40	1.5	0.05	4.5	0	0.654835
255	40	1.5	0.175	4.5	0	0.654532
43	60	2	0.075	1.5	0	0.652753
39	60	2	0.15	1.5	0	0.652688
377	30	1.75	0.2	3	0	0.649171
382	60	2	0.02	2	0	0.647012
37	60	2	0.05	3	0	0.636458
335	30	1.75	0.175	4	0	0.636436
355	30	1.75	0.02	4	0	0.6342
292	30	1.75	0.02	4.5	0	0.630337
23	50	1.5	0.2	0.5	0	0.628967
294	30	1.75	0.125	4.5	0	0.626696
33	60	2	0.175	4	0	0.625167
193	50	1.5	0.15	1	0	0.624369
180	40	1.5	0.02	7	0	0.623974
391	30	1.75	0.15	5	0	0.623205
393	30	1.75	0.125	5	0	0.623075
274	60	2	0.02	4.5	0	0.620216
