1: p1_percSucr='30', p2_biomassSynecho='2', p3_biomassKT='0.1', p4_nh4='7',1,0.657774
2: p1_percSucr='40', p2_biomassSynecho='1', p3_biomassKT='0.02', p4_nh4='3',2,0.446134
3: p1_percSucr='50', p2_biomassSynecho='0.5', p3_biomassKT='0.05', p4_nh4='8',3,0.0638347
4: p1_percSucr='30', p2_biomassSynecho='1.25', p3_biomassKT='0.125', p4_nh4='3.5',4,0.0449363
5: p1_percSucr='50', p2_biomassSynecho='1.75', p3_biomassKT='0.05', p4_nh4='5',5,0.692783
6: p1_percSucr='40', p2_biomassSynecho='1', p3_biomassKT='0.1', p4_nh4='2',6,0.451845
7: p1_percSucr='80', p2_biomassSynecho='2', p3_biomassKT='0.05', p4_nh4='4.5',7,0.33213
8: p1_percSucr='20', p2_biomassSynecho='1.5', p3_biomassKT='0.075', p4_nh4='1',8,0.430018
9: p1_percSucr='80', p2_biomassSynecho='1.75', p3_biomassKT='0.125', p4_nh4='5',9,0.27879
10: p1_percSucr='10', p2_biomassSynecho='1.5', p3_biomassKT='0.175', p4_nh4='13',10,0.0511586
11: p1_percSucr='50', p2_biomassSynecho='2', p3_biomassKT='0.125', p4_nh4='8',11,0.112084
12: p1_percSucr='30', p2_biomassSynecho='0.5', p3_biomassKT='0.175', p4_nh4='2.5',12,0.0410644
13: p1_percSucr='20', p2_biomassSynecho='1.5', p3_biomassKT='0.05', p4_nh4='14',13,0.0686358
14: p1_percSucr='40', p2_biomassSynecho='1.5', p3_biomassKT='0.125', p4_nh4='3.5',14,0.665262
15: p1_percSucr='60', p2_biomassSynecho='1.75', p3_biomassKT='0.1', p4_nh4='11',15,0.14542
16: p1_percSucr='60', p2_biomassSynecho='1.25', p3_biomassKT='0.125', p4_nh4='13',16,0.145773
17: p1_percSucr='50', p2_biomassSynecho='1', p3_biomassKT='0.05', p4_nh4='12',17,0.112335
18: p1_percSucr='60', p2_biomassSynecho='1.75', p3_biomassKT='0.075', p4_nh4='8',18,0.111999
19: p1_percSucr='50', p2_biomassSynecho='1.25', p3_biomassKT='0.075', p4_nh4='13',19,0.131856
