sucrPer	Synecho	KT	NH4	fitness
30	2	0.1	7	0.657774
40	1	0.02	3	0.446134
50	0.5	0.05	8	0.0638347
30	1.25	0.125	3.5	0.0449363
50	1.75	0.05	5	0.692783
40	1	0.1	2	0.451845
80	2	0.05	4.5	0.33213
20	1.5	0.075	1	0.430018
80	1.75	0.125	5	0.27879
10	1.5	0.175	13	0.0511586
50	2	0.125	8	0.112084
30	0.5	0.175	2.5	0.0410644
20	1.5	0.05	14	0.0686358
40	1.5	0.125	3.5	0.665262
60	1.75	0.1	11	0.14542
60	1.25	0.125	13	0.145773
50	1	0.05	12	0.112335
60	1.75	0.075	8	0.111999
50	1.25	0.075	13	0.131856
80	0.5	0.125	11	0
30	2	0.05	13	0.0973871
30	1	0.125	14	0.0920346
50	1.5	0.2	0.5	0.628967
70	0.75	0.05	1	0.172644
50	2	0.2	7	0.778855
80	1.25	0.175	0.5	0.232614
50	2	0.2	5	0.798073
20	1.25	0.05	10	0.0525337
30	1.75	0.2	5	0.0668988
80	0.5	0.2	12	0
80	1.75	0.2	4	0.289527
50	1	0.175	5	0.0805703
60	2	0.175	4	0.625167
20	1.25	0.075	3	0.369541
60	2	0.125	7	0.591776
30	1.5	0.2	11	0.0996214
60	2	0.05	3	0.636458
20	1.5	0.02	4	0.407728
60	2	0.15	1.5	0.652688
10	1.5	0.1	10	0.0373243
60	2	0.1	5	0.614294
80	1.5	0.15	15	0.110954
60	2	0.075	1.5	0.652753
70	2	0.2	3	0.454457
20	1	0.02	8	0.0395442
70	2	0.2	2.5	0.459917
40	1.75	0.05	5	0.742237
70	2	0.2	1	0.476309
70	2	0.2	12	0.174355
70	2	0.2	6	0.421153
70	1.25	0.075	4.5	0.0702979
70	2	0.2	4	0.443442
40	1.5	0.02	3	0.67011
20	0.75	0.2	9	0.0589233
50	2	0.02	7	0.0859295
80	1	0.075	3	0.15759
40	2	0.05	3	0.865277
30	1.25	0.2	4	0.0585688
50	2	0.05	1	0.8351
40	1.5	0.175	5	0.0740898
50	2	0.1	7	0.098317
20	2	0.075	4	0.491154
40	2	0.15	6	0.08142
80	0.75	0.05	11	0
50	2	0.1	2.5	0.821927
20	1.75	0.05	7	0.0430849
40	2	0.02	10	0.0963527
20	2	0.1	12	0.0714103
20	1.75	0.05	6	0.433679
80	1.25	0.075	12	0.100293
80	1.5	0.02	10	0.123193
10	1.75	0.05	6	0.228522
50	1.75	0.02	12	0.131429
20	0.5	0.15	11	0.0494638
40	1.75	0.02	12	0.109102
30	1.75	0.05	6	0.609721
50	1.5	0.2	7	0.108109
50	2	0.05	2.5	0.821853
20	1.75	0.1	14	0.0770339
60	1.5	0.2	7	0.116043
30	1.75	0.075	6	0.609786
60	1.5	0.2	6	0.105572
50	1	0.02	9	0.0924204
60	1.5	0.2	5	0.0944469
40	1	0.1	5	0.0605255
20	0.5	0.02	3.5	0.0191864
50	1.5	0.2	5	0.0885599
20	1.75	0.1	2	0.465744
50	0.75	0.15	2	0.0460849
10	1.75	0.15	0.5	0.0243111
80	1.25	0.15	7	0.108698
20	1.75	0.125	3	0.456451
60	0.5	0.1	14	0
20	1.75	0.05	2.5	0.46056
40	1.25	0.125	10	0.159009
20	1.75	0.1	1	0.472219
40	1.75	0.1	14	0.132924
20	1.75	0.2	2.5	0.461921
40	2	0.15	1	0.891034
10	1.25	0.175	4	0.0349391
40	2	0.175	1.5	0.884742
20	1.5	0.075	8	0.0495595
40	2	0.2	2.5	0.868813
20	2	0.2	3.5	0.0484526
40	2	0.15	2	0.87586
20	0.75	0.175	12	0.0627233
80	1.75	0.175	3	0.300595
70	1.25	0.15	3	0.0630757
70	0.75	0.075	1.5	0.166291
50	2	0.02	0.5	0.401159
80	1.75	0.1	14	0.173144
40	2	0.02	3	0.865771
80	1.75	0.2	9	0.142758
50	2	0.02	2.5	0.822108
30	0.75	0.1	4	0.0419202
40	2	0.02	2	0.871356
10	1.75	0.2	6	0.043487
50	2	0.02	1	0.686378
10	1.5	0.175	1	0.0292152
20	2	0.02	3	0.498804
30	2	0.175	2.5	0.720725
10	0.75	0.02	3	0.148257
10	1.25	0.15	1.5	0.0263735
30	2	0.2	3	0.714036
80	0.75	0.125	10	0
30	2	0.2	2.5	0.720691
30	2	0.175	2	0.727275
40	1.75	0.1	7	0.0819228
10	2	0.02	8	0.241775
10	2	0.125	10	0.0421362
30	2	0.15	2	0.727305
50	0.5	0.02	4.5	0.047399
40	2	0.2	1.5	0.884772
70	1.75	0.1	5	0.371612
10	1	0.075	2.5	0.0175354
40	1.25	0.1	12	0.109875
40	2	0.2	3	0.862128
50	0.5	0.125	10	0
70	2	0.2	5	0.43231
10	1	0.125	2.5	0.0244851
40	2	0.175	2	0.878235
10	2	0.1	15	0.0487034
40	2	0.05	3.5	0.858067
50	1.5	0.02	10	0.110685
50	2	0.2	3.5	0.81234
60	1.5	0.075	1	0.490909
60	1.25	0.2	4.5	0.0870849
80	2	0.125	6	0.315268
20	1.75	0.05	1.5	0.469491
50	2	0.175	3.5	0.812298
10	1	0.05	10	0.0286735
40	0.75	0.15	6	0.0695406
40	1.5	0.05	4.5	0.654835
40	2	0.02	4.5	0.843873
60	1.5	0.125	4	0.457705
40	2	0.02	4	0.848931
40	2	0.075	4	0.850276
70	2	0.02	1	0.476153
40	2	0.02	5	0.835871
30	1.75	0.2	9	0.0916971
40	1.75	0.075	13	0.123505
50	2	0.02	4	0.808054
40	1.5	0.075	13	0.118673
50	2	0.02	5	0.798659
30	0.5	0.2	4	0.0503803
40	2	0.2	1	0.891081
10	0.75	0.1	12	0.0342695
40	1.25	0.1	4.5	0.0581911
50	1.75	0.175	15	0.173066
20	0.5	0.1	2	0.0237572
40	1.5	0.2	3.5	0.665164
80	1.5	0.05	5	0.231118
60	1	0.125	6	0.0891409
40	1.75	0.02	6	0.729378
40	2	0.2	2	0.878235
20	0.5	0.175	4	0.0391987
80	0.5	0.1	3.5	0.0547096
80	1.75	0.15	1.5	0.317018
50	1.75	0.15	1	0.729978
40	1.5	0.02	7	0.623974
70	0.75	0.05	14	0
40	2	0.02	1.5	0.750651
20	1.5	0.2	10	0.0728202
40	2	0.02	1	0.53026
40	1.5	0.15	6	0.0787993
50	2	0.175	10	0.138104
30	1.75	0.15	6	0.0666644
10	1.75	0.15	3.5	0.031331
30	1.5	0.15	5	0.0590578
10	1.5	0.125	13	0.0454525
30	1.5	0.15	6	0.06537
80	2	0.1	12	0.162579
50	1.5	0.15	1	0.624369
80	1.5	0.15	10	0.141186
30	2	0.1	4.5	0.69336
80	2	0.125	8	0.123484
30	2	0.02	3.5	0.706048
80	1.75	0.2	1.5	0.316975
30	2	0.05	5	0.686701
50	1	0.125	13	0.123164
70	1	0.2	12	0.0994099
30	2	0.2	4	0.0608791
70	1	0.1	9	0.109766
30	2	0.15	4	0.69709
40	2	0.175	1	0.891058
70	1.75	0.1	0.5	0.420118
80	1.25	0.125	4.5	0.0781768
40	2	0.125	1	0.89102
80	0.5	0.15	10	0
40	2	0.05	1	0.783429
40	1.75	0.15	11	0.11912
50	1.25	0.2	2.5	0.504507
30	1.5	0.1	0.5	0.608851
40	0.5	0.125	3.5	0.046409
40	2	0.1	1.5	0.882643
40	1.25	0.1	1.5	0.570605
40	1.25	0.15	1.5	0.570522
40	2	0.1	1	0.89102
10	1.5	0.1	6	0.029385
50	1	0.2	11	0.122753
10	1.25	0.02	5	0.189864
50	1.75	0.125	5	0.692486
40	1	0.1	4.5	0.0565954
40	1.5	0.125	5	0.0671245
80	1	0.15	2	0.168528
80	1.5	0.15	3.5	0.247426
10	1.25	0.175	3.5	0.0339672
50	1	0.05	13	0.116351
40	1	0.125	3.5	0.0518798
40	1	0.175	1	0.0367965
60	0.5	0.15	2.5	0.0513616
40	0.5	0.05	15	0
10	0.75	0.02	9	0.0220411
40	2	0.2	0.5	0.89712
40	2	0.2	4.5	0.0750455
30	2	0.15	14	0.1152
40	2	0.2	5	0.079552
40	1.75	0.175	9	0.10768
70	1	0.1	5	0.0773528
40	2	0.2	4	0.850313
40	2	0.15	5	0.831014
40	2	0.125	0.5	0.897085
40	1	0.15	12	0.10663
40	2	0.175	0.5	0.897108
50	2	0.2	0.5	0.840152
40	1.25	0.02	3.5	0.558566
40	2	0.2	3.5	0.854583
10	1.25	0.175	13	0.0491769
30	1.75	0.15	2	0.661732
10	2	0.02	3	0.258374
50	2	0.125	0.5	0.840181
10	1.25	0.175	0.5	0.0280276
50	2	0.175	0.5	0.840162
70	0.5	0.15	15	0
40	1.5	0.175	4.5	0.654532
80	1.5	0.125	12	0.149512
40	1.75	0.15	4.5	0.751112
80	1.5	0.2	2.5	0.258354
40	1.75	0.175	4.5	0.748229
10	2	0.175	8	0.0448221
40	1.5	0.15	4.5	0.0663075
50	1.75	0.1	2	0.720789
30	1.75	0.2	4.5	0.063696
30	0.75	0.05	1	0.356646
10	1.25	0.075	12	0.0364523
50	1.5	0.05	2	0.615223
80	1.75	0.075	9	0.125027
70	1.75	0.175	8	0.127518
30	1.25	0.15	12	0.0939261
50	2	0.075	2.5	0.821894
40	0.75	0.05	13	0.0869756
40	2	0.075	0.5	0.757494
70	1	0.02	5	0.065851
60	2	0.02	4.5	0.620216
70	1.25	0.1	4	0.260499
40	0.75	0.2	2.5	0.0525626
10	1	0.1	10	0.0342769
10	2	0.02	12	0.227951
70	1.5	0.15	1.5	0.349057
70	1.75	0.05	4	0.382819
80	0.5	0.075	8	0
10	1	0.175	4.5	0.0348289
80	0.5	0.05	3.5	0.0484675
50	1.75	0.175	4.5	0.697116
50	1.75	0.2	4.5	0.0844339
80	2	0.05	2.5	0.353325
80	1	0.15	7	0.103165
60	1.75	0.2	4.5	0.0898427
40	2	0.05	13	0.123443
60	1.5	0.075	6	0.0882241
10	1.25	0.05	0.5	0.202602
30	1.75	0.02	4.5	0.630337
30	1	0.15	9	0.0760191
30	1.75	0.125	4.5	0.626696
30	0.5	0.02	15	0
80	2	0.1	9	0.131054
40	2	0.15	13	0.136431
60	1.75	0.125	15	0.180511
20	0.75	0.2	6	0.051447
50	2	0.2	3	0.816921
50	0.5	0.2	4	0.0647924
10	1.75	0.02	0.5	0.202012
80	0.75	0.15	5	0.0801209
40	2	0.075	5	0.835177
40	2	0.1	3	0.862925
70	2	0.15	9	0.137315
40	2	0.125	3	0.862801
60	1.75	0.05	15	0.171345
40	2	0.15	3	0.862677
30	0.75	0.15	1.5	0.0335673
70	0.75	0.125	7	0.0889709
40	2	0.175	3	0.86244
20	1.25	0.15	5	0.0460857
70	1.75	0.125	2	0.404562
40	1.75	0.1	4.5	0.751262
10	2	0.175	5	0.0385174
30	2	0.2	3.5	0.707056
50	1.25	0.02	4.5	0.0563066
40	1	0.175	12	0.10912
30	2	0.15	1	0.740235
70	1.25	0.15	10	0.132359
10	1.5	0.05	0.5	0.22454
30	2	0.1	1	0.740203
40	0.5	0.2	8	0.0702185
40	2	0.175	4	0.850338
20	0.5	0.2	11	0.0534491
50	0.5	0.02	14	0
20	2	0.125	1.5	0.511431
30	0.5	0.02	4	0.0292774
50	2	0.2	14	0.175279
30	0.75	0.125	15	0.0830772
50	2	0.175	4	0.807584
60	1.75	0.15	13	0.168602
40	2	0.175	5	0.830937
30	1.75	0.175	4	0.636436
80	1.25	0.2	10	0.123715
30	1.75	0.175	2.5	0.655567
30	1.25	0.15	2.5	0.0416653
30	1.75	0.175	1.5	0.667786
40	2	0.075	1.5	0.882854
30	1.75	0.175	2	0.6617
20	0.5	0.02	1	0.214339
30	1.75	0.175	0.5	0.67964
80	1	0.02	11	0.0621864
50	1.75	0.175	5	0.692337
60	1.25	0.1	1	0.407254
40	1.75	0.15	5	0.7442
80	1.5	0.1	13	0.137531
40	1.75	0.175	5	0.744238
50	1.25	0.02	15	0.135785
60	0.5	0.175	1.5	0.044893
60	1.75	0.075	2.5	0.558197
70	0.5	0.02	12	0
60	1.5	0.1	4	0.0684142
30	1.75	0.02	4	0.6342
40	1.75	0.2	0.5	0.79749
40	2	0.2	7	0.801393
20	1	0.175	13	0.0715786
40	1.75	0.2	1	0.792536
70	1.25	0.175	6	0.100861
30	0.75	0.075	3.5	0.0357203
40	1.75	0.2	1.5	0.787288
10	1	0.125	12	0.0398051
40	1.75	0.2	2	0.781776
40	1.75	0.2	3.5	0.764149
10	0.75	0.1	3.5	0.0222243
30	1	0.02	13	0.0782609
10	1	0.075	7	0.0264387
80	0.5	0.05	12	0
60	2	0.175	6	0.602738
40	0.5	0.02	5	0.0427951
70	1.75	0.175	6	0.104963
80	0.75	0.075	5	0.0706049
40	2	0.175	6	0.0849649
30	1.75	0.2	2	0.661668
60	0.75	0.15	2.5	0.0541885
30	1.75	0.2	3	0.649171
30	1.5	0.15	15	0.112215
30	1.75	0.2	0.5	0.679645
80	2	0.15	13	0.178852
30	1.75	0.2	2.5	0.655529
60	2	0.02	2	0.647012
40	0.5	0.175	5	0.0596045
30	1.75	0.2	1	0.673804
40	1.75	0.2	4	0.0697831
70	1	0.125	8	0.106444
20	0.5	0.175	0.5	0.0288498
50	0.5	0.125	11	0
50	2	0.2	4	0.0796194
50	0.75	0.2	0.5	0.312067
30	1.75	0.15	5	0.623205
40	1.5	0.02	3.5	0.665079
30	1.75	0.125	5	0.623075
40	1.25	0.2	5	0.0759569
20	1.25	0.02	8	0.0411801
50	2	0.2	1	0.835554
50	2	0.02	12	0.135175
50	1.75	0.05	1.5	0.725483
70	1.25	0.2	1.5	0.288017
50	0.75	0.175	4	0.0682805
10	0.75	0.175	11	0.0404407
80	1	0.175	13	0
50	2	0.2	2	0.826309
30	0.5	0.02	9	0.0479652
50	2	0.2	6	0.788514
70	0.75	0.15	3	0.0603652
60	2	0.2	6	0.602673
20	1.5	0.15	1	0.429949
30	0.75	0.15	8	0.0662514
30	2	0.2	6	0.0745107
50	1	0.075	13	0.118636
50	1.75	0.2	6	0.100301
60	1.75	0.075	13	0.159437
40	0.5	0.1	13	0
60	1	0.15	1.5	0.320045
10	1	0.125	11	0.0385314
20	0.5	0.175	14	0.054551
40	2	0.15	4	0.850248
50	1.25	0.125	12	0.131632
40	2	0.1	4	0.850214
10	0.75	0.05	3.5	0.0157063
40	0.75	0.15	1.5	0.0372842
20	1.75	0.125	5	0.442149
60	0.5	0.15	4.5	0.0654666
10	1	0.125	3	0.0255283
40	1.75	0.2	3	0.768353
70	0.5	0.02	3.5	0.0440827
50	1.75	0.2	3.5	0.0732963
20	0.5	0.075	7	0.0357009
40	1.75	0.1	3	0.770466
40	1.5	0.15	15	0.138228
40	1.75	0.15	3	0.770369
10	1.75	0.05	3	0.238093
40	1.75	0.05	3	0.770569
50	1.75	0.2	2.5	0.715949
20	1.5	0.02	6	0.392119
50	1.75	0.2	2	0.72064
30	1.5	0.1	14	0.102176
70	0.75	0.02	12	0
70	1.25	0.175	0.5	0.299028
10	0.5	0.05	12	0.0254421
50	1.75	0.2	1.5	0.725307
70	0.5	0.02	14	0
20	1	0.175	5	0.0478196
40	1.75	0.175	4	0.0662586
10	1.75	0.02	4	0.234903
40	1.75	0.125	4	0.755387
10	1.75	0.05	4	0.234948
60	2	0.125	8	0.121314
40	1.75	0.075	4	0.756022
70	0.75	0.1	11	0
40	1.75	0.15	3.5	0.764211
80	0.75	0.075	15	0
40	1.75	0.05	3.5	0.762338
70	2	0.02	4.5	0.436772
50	2	0.075	7	0.779457
10	1.75	0.05	15	0.0415301
60	1.75	0.15	4.5	0.53592
80	0.75	0.125	8	0.0479286
60	1.75	0.125	4.5	0.536
20	1.5	0.125	1	0.429973
60	1.75	0.175	4.5	0.086236
80	1	0.05	7	0.0904068
60	1.75	0.175	5	0.53017
50	0.5	0.075	2.5	0.0386447
40	2	0.175	4.5	0.0714928
30	0.75	0.02	15	0.0747739
20	2	0.125	13	0.0783685
60	1.5	0.125	8	0.116169
80	2	0.02	13	0.160055
70	1.5	0.05	3	0.332776
10	0.75	0.075	8	0.0264228
10	1.5	0.05	14	0.0384895
50	2	0.175	4.5	0.802885
40	1	0.15	2	0.0424218
30	1.75	0.15	15	0.116651
40	1.75	0.175	6	0.729691
10	2	0.2	6	0.0439993
40	0.5	0.125	8	0.0640245
10	2	0.2	7	0.0460226
40	0.5	0.075	6	0.0533148
60	1.5	0.2	1	0.490803
60	2	0.2	4.5	0.619471
60	1.5	0.2	2	0.479793
60	1.75	0.075	5	0.0776256
30	1.75	0.2	3.5	0.056907
10	2	0.125	8	0.0380292
20	1.5	0.175	1	0.429916
70	1.5	0.175	3	0.332527
30	1.5	0.02	3.5	0.576173
60	1	0.15	1	0.325694
